,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
134,LAOS,2018,4261,363,4624,0.9214965397923875,91.0,LAOS,Laos,Asia-Pacific,138.0,34.0,,34.1,41.4,33.1,86.7,79.3,60.2,65.4,55.0,76.0,56.6,35.0,20.0,14.2,24.0,24.0,13.4,26.3,Lao P.D.R.,7.2,$40.9 ,7.0,7.6,"$5,709.6",1.5,2.0,889.9,67.3,,,53.6
135,LEBANON,2017,137687,13880,151567,0.9084233375338959,93.0,LEBANON,Lebanon,Middle East / North Africa,137.0,11.0,53.3,43.8,25.3,23.3,91.8,76.1,0.0,51.5,49.5,78.4,84.4,65.0,50.0,2.8,20.0,15.0,13.8,28.5,Lebanon,4.6,$83.1 ,1.0,1.8,"$18,240",7.1,-3.7,"2,341.0",139.1,,,
136,LEBANON,2018,135433,18888,154321,0.8776057697915384,93.0,LEBANON,Lebanon,Middle East / North Africa,140.0,12.0,,39.7,33.6,20.2,91.9,78.2,0.0,48.8,44.2,81.9,84.5,65.0,50.0,2.8,20.0,15.0,13.5,26.9,Lebanon,4.6,$85.2 ,1.0,1.9,"$18,524.6",6.8,-0.8,"2,563.9",143.4,,,53.2
137,LIBYA,2017,6570,3276,9846,0.6672760511882998,96.0,LIBYA,Libya,Middle East / North Africa,,,,6.8,22.6,26.7,95.0,0.0,11.4,65.0,52.5,69.2,80.0,,,0.0,10.0,20.0,,76.7,Libya,6.3,$92.6 ,-6.4,-0.3,"$14,650",20.6,8.0,725.7,65.4,,,
138,LIBYA,2018,7499,2429,9928,0.7553384367445608,96.0,LIBYA,Libya,Middle East / North Africa,,,,5.2,22.1,23.1,90.5,0.0,19.9,63.5,45.9,56.2,80.0,5.0,,0.0,10.0,20.0,21.3,92.9,Libya,6.4,$55.4 ,-6.4,3.3,"$8,678.5",19.2,27.1,492.556,7.4,,,
139,MACAO S.A.R.,2017,461,42,503,0.9165009940357853,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
140,MACAO S.A.R.,2018,541,16,557,0.9712746858168761,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
141,MADAGASCAR,2017,15688,4747,20435,0.7677024712503059,102.0,MADAGASCAR,Madagascar,Sub-Saharan Africa,113.0,15.0,57.4,34.8,21.4,25.0,91.0,93.2,79.8,43.3,43.8,73.3,78.0,55.0,50.0,6.0,20.0,20.0,9.9,15.5,Madagascar,24.2,$35.4 ,3.0,2.6,"$1,462",2.2,7.4,517.5,35.6,,,
142,MADAGASCAR,2018,16494,4881,21375,0.7716491228070176,102.0,MADAGASCAR,Madagascar,Sub-Saharan Africa,119.0,16.0,,33.2,21.4,17.8,90.3,92.9,82.5,45.6,41.5,73.4,78.0,55.0,50.0,6.0,20.0,20.0,13.0,15.4,Madagascar,24.9,$37.5 ,3.0,3.2,"$1,504.7",2.1,6.7,540.6,42.3,,,56.8
143,MALAWI,2017,1793,98,1891,0.9481755684822845,103.0,MALAWI,Malawi,Sub-Saharan Africa,149.0,33.0,52.2,36.0,44.2,31.3,79.1,69.8,33.5,45.3,56.9,54.7,70.5,55.0,50.0,4.8,30.0,30.0,16.9,30.7,Malawi,18.1,$20.4 ,3.0,4.1,"$1,124",6.7,21.9,142.5,83.4,,,
144,MALAWI,2018,126,11,137,0.9197080291970803,103.0,MALAWI,Malawi,Sub-Saharan Africa,148.0,31.0,,33.1,47.1,28.9,76.9,70.7,28.1,47.7,59.9,60.4,71.5,50.0,50.0,4.2,30.0,30.0,22.5,31.3,Malawi,18.6,$21.1 ,3.0,3.6,"$1,134.5",6.7,21.7,325.6,62.1,,,52.0
145,MALAYSIA,2017,4802,1088,5890,0.8152801358234295,104.0,MALAYSIA,Malaysia,Asia-Pacific,27.0,7.0,73.8,85.3,67.3,51.8,85.3,78.7,76.5,90.8,73.1,85.3,81.2,60.0,50.0,4.4,28.0,24.0,14.8,25.2,Malaysia,30.8,$815.6 ,5.0,5.3,"$26,315",2.9,2.1,"11,121.5",57.4,,,
146,MALAYSIA,2018,5309,1178,6487,0.8184060428549407,104.0,MALAYSIA,Malaysia,Asia-Pacific,22.0,6.0,,83.8,65.2,54.8,85.6,81.3,80.7,83.9,75.8,85.6,87.4,60.0,50.0,1.3,25.0,25.0,13.8,24.9,Malaysia,31.7,$863.3 ,5.0,5.1,"$27,266.7",3.3,2.1,"9,925.9",56.3,,,74.5
147,MALI,2017,13578,5023,18601,0.7299607547981292,106.0,MALI,Mali,Sub-Saharan Africa,102.0,12.0,58.6,36.7,33.8,34.3,69.4,88.0,87.8,44.2,51.1,83.0,70.1,65.0,40.0,7.4,40.0,35.0,15.3,20.3,Mali,16.3,$35.8 ,6.1,3.7,"$2,199",8.5,1.4,152.9,36.3,,,
148,MALI,2018,15624,5728,21352,0.7317347321094043,106.0,MALI,Mali,Sub-Saharan Africa,113.0,14.0,,31.9,32.4,31.4,68.1,85.3,84.8,52.8,48.4,81.9,68.7,65.0,40.0,10.6,40.0,35.0,19.0,22.2,Mali,16.8,$38.1 ,6.1,4.0,"$2,266.0",8.1,-1.8,125.5,30.5,,,57.6
149,MAURITANIA,2017,12304,2369,14673,0.8385469910720371,108.0,MAURITANIA,Mauritania,Sub-Saharan Africa,131.0,25.0,54.4,22.5,13.8,29.2,81.2,73.2,77.1,64.4,57.4,81.9,62.3,50.0,40.0,11.4,30.0,25.0,18.9,33.4,Mauritania,3.7,$16.3 ,1.9,5.1,"$4,395",31.1,0.5,495.0,78.1,,,
150,MAURITANIA,2018,11895,2880,14775,0.8050761421319796,108.0,MAURITANIA,Mauritania,Sub-Saharan Africa,134.0,24.0,,23.9,17.6,28.9,75.9,72.8,71.8,64.2,59.2,82.4,61.5,50.0,40.0,11.7,30.0,25.0,29.7,30.1,Mauritania,3.8,$16.4 ,1.9,4.0,"$4,328.0",11.7,1.5,271.6,99.6,,,54.0
151,MAURITIUS,2017,574,24,598,0.959866220735786,109.0,MAURITIUS,Mauritius,Sub-Saharan Africa,21.0,1.0,74.7,64.4,72.6,44.3,92.0,81.5,74.9,78.2,68.8,81.1,88.7,80.0,70.0,0.6,15.0,15.0,18.6,25.9,Mauritius,1.3,$24.6 ,3.4,3.5,"$19,509",7.9,1.3,208.3,58.1,,,
152,MAURITIUS,2018,823,17,840,0.9797619047619047,109.0,MAURITIUS,Mauritius,Sub-Saharan Africa,21.0,1.0,,68.7,69.6,52.1,91.0,80.7,73.7,77.5,66.8,82.9,88.7,80.0,70.0,0.6,15.0,15.0,21.2,25.4,Mauritius,1.3,$25.9 ,3.4,3.4,"$20,421.6",7.8,1.0,349.4,62.7,,,75.1
153,MEXICO,2017,1526,78,1604,0.9513715710723192,110.0,MEXICO,Mexico,Americas,70.0,14.0,63.6,58.1,38.7,30.0,74.9,76.7,66.8,70.7,57.9,78.8,80.0,70.0,60.0,5.0,35.0,30.0,19.7,27.6,Mexico,121.1,"$2,227.2 ",2.5,2.8,"$17,534",4.3,2.7,"30,284.6",54.0,,,
154,MEXICO,2018,1424,89,1513,0.9411764705882353,110.0,MEXICO,Mexico,Americas,63.0,12.0,,58.6,39.0,26.9,75.7,78.1,69.8,67.5,59.8,79.2,88.0,75.0,60.0,1.0,35.0,30.0,17.4,27.0,Mexico,122.3,"$2,315.7 ",2.5,2.5,"$18,938.3",4.0,2.8,"26,738.6",58.1,,,64.8
155,MOLDOVA,2017,1460,66,1526,0.9567496723460026,112.0,MOLDOVA,Moldova,Europe,110.0,41.0,58.0,49.6,23.9,28.6,86.1,54.8,90.6,65.9,38.9,72.0,80.0,55.0,50.0,2.5,18.0,12.0,30.4,38.3,Moldova,3.6,$17.8 ,-1.1,3.8,"$5,006",5.0,9.6,228.5,42.0,,,
156,MOLDOVA,2018,2542,85,2627,0.9676437000380662,112.0,MOLDOVA,Moldova,Europe,105.0,40.0,,53.5,26.3,26.6,85.3,56.7,90.0,66.0,39.9,73.2,78.3,55.0,50.0,3.4,18.0,12.0,31.6,38.0,Moldova,3.6,$18.9 ,-1.1,3.4,"$5,328.0",5.0,6.4,143.2,38.1,,,58.4
157,MONACO,2017,11,1,12,0.9166666666666666,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
158,MONACO,2018,1,1,2,0.5,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
159,MONGOLIA,2017,13899,2506,16405,0.8472416946053033,113.0,MONGOLIA,Mongolia,Asia-Pacific,129.0,29.0,54.8,51.3,28.4,36.8,87.1,57.6,0.0,67.2,76.6,72.3,74.9,45.0,60.0,5.0,10.0,25.0,23.7,33.8,Mongolia,3.0,$36.1 ,2.3,10.3,"$12,147",7.1,5.9,195.1,76.5,,,
160,MONGOLIA,2018,15854,2741,18595,0.8525947835439635,113.0,MONGOLIA,Mongolia,Asia-Pacific,125.0,27.0,,51.0,30.9,34.8,88.4,57.1,3.8,67.0,75.6,79.1,75.9,45.0,60.0,4.6,10.0,25.0,20.9,37.8,Mongolia,3.0,$37.0 ,2.3,7.0,"$12,274.9",6.7,0.5,"-4,072.1",90.0,,,55.7
161,MONTENEGRO,2017,1183,46,1229,0.9625711960943857,114.0,MONTENEGRO,Montenegro,Europe,83.0,35.0,62.0,58.0,50.4,43.4,83.1,33.1,44.3,72.0,67.4,82.5,84.7,75.0,50.0,2.6,9.0,9.0,39.1,48.0,Montenegro,0.6,$10.0 ,4.1,2.0,"$16,123",18.2,1.6,699.1,66.4,,,
162,MONTENEGRO,2018,1133,23,1156,0.9801038062283737,114.0,MONTENEGRO,Montenegro,Europe,68.0,33.0,,54.2,51.3,38.1,85.2,35.7,69.1,72.9,70.9,84.9,84.7,75.0,50.0,2.6,9.0,9.0,36.3,46.3,Montenegro,0.6,$10.4 ,4.1,1.7,"$16,643.2",17.5,-0.4,226.3,71.3,,,64.3
163,MOROCCO,2017,514872,93859,608731,0.8458120253445283,115.0,MOROCCO,Morocco,Middle East / North Africa,86.0,9.0,61.5,55.0,41.9,37.1,71.7,69.4,55.0,67.7,33.8,82.7,84.0,70.0,70.0,3.0,38.0,30.0,22.0,29.9,Morocco,33.5,$273.5 ,4.5,4.0,"$8,164",9.6,1.6,"3,162.3",63.7,,,
164,MOROCCO,2018,530764,119586,650350,0.8161205504728223,115.0,MOROCCO,Morocco,Middle East / North Africa,86.0,7.0,,53.8,44.3,41.3,70.5,70.5,60.6,69.6,36.0,82.3,79.4,65.0,70.0,2.8,38.0,30.0,24.6,31.4,Morocco,33.8,$281.8 ,4.5,3.2,"$8,330.4",10.0,1.6,"2,321.8",64.7,,,61.9
165,MOZAMBIQUE,2017,14270,845,15115,0.9440952695997353,116.0,MOZAMBIQUE,Mozambique,Sub-Saharan Africa,158.0,37.0,49.9,40.6,32.4,30.9,73.2,58.2,22.7,58.8,41.0,79.9,76.7,35.0,50.0,4.2,32.0,32.0,25.1,35.4,Mozambique,27.1,$33.2 ,6.3,7.0,"$1,186",22.3,2.4,"3,710.8",74.8,,,
166,MOZAMBIQUE,2018,15454,1089,16543,0.9341715529226864,116.0,MOZAMBIQUE,Mozambique,Sub-Saharan Africa,170.0,42.0,,35.4,36.3,28.2,70.6,60.7,0.0,58.0,37.8,66.7,76.7,35.0,50.0,4.2,32.0,32.0,29.8,36.2,Mozambique,28.8,$34.9 ,6.3,6.4,"$1,215.3",24.4,19.2,"3,093.4",115.2,,,46.3
167,MYANMAR,2017,9114,212,9326,0.9772678533133176,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
168,MYANMAR,2018,9822,580,10402,0.9442414920207652,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
169,NAMIBIA,2017,6691,74,6765,0.9890613451589061,117.0,NAMIBIA,Namibia,Sub-Saharan Africa,78.0,5.0,62.5,53.8,50.6,41.3,65.2,55.6,66.4,67.6,84.4,77.2,83.5,65.0,40.0,0.8,37.0,34.0,30.9,39.6,Namibia,2.2,$25.3 ,4.5,5.3,"$11,408",25.5,3.4,"1,077.8",27.2,,,
170,NAMIBIA,2018,6044,113,6157,0.9816469059606951,117.0,NAMIBIA,Namibia,Sub-Saharan Africa,103.0,11.0,,56.6,54.2,45.4,63.0,50.4,16.5,67.5,85.5,74.8,83.3,65.0,40.0,0.9,37.0,34.0,34.3,40.7,Namibia,2.3,$26.0 ,4.5,4.5,"$11,289.7",25.6,6.7,274.9,42.1,,,58.5
171,NEPAL,2017,8444,2755,11199,0.7539958924904009,118.0,NEPAL,Nepal,Asia-Pacific,125.0,26.0,55.1,37.3,32.0,26.7,84.9,89.5,98.4,64.6,47.6,72.2,68.1,10.0,30.0,10.9,25.0,25.0,16.1,19.9,Nepal,28.4,$70.1 ,3.4,4.2,"$2,465",3.1,7.2,51.4,28.7,,,
172,NEPAL,2018,7951,2474,10425,0.7626858513189448,118.0,NEPAL,Nepal,Asia-Pacific,133.0,32.0,,37.5,36.2,24.6,84.2,87.6,98.5,64.6,43.5,65.8,66.6,10.0,30.0,11.7,25.0,25.0,18.3,20.3,Nepal,28.9,$71.5 ,3.4,3.6,"$2,478.9",3.2,9.9,105.9,27.3,,,54.1
173,NEW ZEALAND,2017,2176,37,2213,0.9832806145503841,120.0,NEW ZEALAND,NewZealand,Asia-Pacific,3.0,3.0,83.7,96.1,88.5,89.9,70.8,46.5,97.8,91.8,86.2,90.1,87.4,80.0,80.0,1.3,33.0,28.0,32.4,41.9,New Zealand,4.6,$168.2 ,3.4,2.5,"$36,172",5.9,0.3,-985.8,30.4,,,
174,NEW ZEALAND,2018,1912,40,1952,0.9795081967213115,120.0,NEW ZEALAND,NewZealand,Asia-Pacific,3.0,3.0,,95.1,88.4,95.7,70.5,49.5,98.3,91.5,84.4,90.0,87.4,80.0,80.0,1.3,33.0,28.0,32.8,41.0,New Zealand,4.7,$177.0 ,3.4,2.9,"$37,294.0",5.2,0.6,"2,291.6",29.5,,,84.2
175,NICARAGUA,2017,2,1,3,0.6666666666666666,121.0,NICARAGUA,Nicaragua,Americas,98.0,20.0,59.2,31.1,15.9,27.4,77.2,80.8,96.1,59.0,55.6,71.2,81.0,65.0,50.0,2.0,30.0,30.0,21.9,26.4,Nicaragua,6.3,$31.3 ,4.5,5.0,"$4,997",6.0,4.0,835.0,31.2,,,
176,NIGER,2017,5566,587,6153,0.9045993824150821,122.0,NIGER,Niger,Sub-Saharan Africa,154.0,36.0,50.8,33.8,22.6,35.0,76.3,73.4,38.5,39.1,46.1,83.3,66.4,55.0,40.0,9.3,35.0,30.0,15.5,31.1,Niger,17.6,$19.1 ,4.0,6.1,"$1,080",2.8,1.0,525.0,43.5,,,
177,NIGER,2018,6080,785,6865,0.8856518572469045,122.0,NIGER,Niger,Sub-Saharan Africa,160.0,36.0,,37.4,32.6,30.4,73.3,72.9,15.8,45.5,45.7,83.5,61.5,55.0,40.0,11.8,35.0,30.0,23.4,30.1,Niger,18.2,$20.1 ,4.0,6.5,"$1,107.2",2.6,1.1,292.8,45.9,,,49.5
178,NIGERIA,2017,38532,44013,82545,0.4667999273123751,123.0,NIGERIA,Nigeria,Sub-Saharan Africa,115.0,16.0,57.1,35.3,33.2,12.2,85.2,95.2,87.2,48.9,73.9,71.3,62.3,40.0,40.0,11.3,24.0,30.0,2.8,11.8,Nigeria,178.7,"$1,091.7 ",2.7,4.7,"$6,108",5.8,9.0,"3,064.2",11.5,,,
179,NIGERIA,2018,43968,44270,88238,0.4982887191459462,123.0,NIGERIA,Nigeria,Sub-Saharan Africa,104.0,12.0,,38.0,39.6,14.4,84.4,96.3,80.9,49.3,81.5,66.9,65.5,45.0,40.0,9.8,24.0,30.0,9.0,11.0,Nigeria,183.6,"$1,091.2 ",2.7,3.4,"$5,942.4",5.0,15.7,"4,448.7",18.6,,,58.5
180,NORTH KOREA,2017,167,52,219,0.7625570776255708,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
181,NORTH KOREA,2018,143,22,165,0.8666666666666667,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
182,NORTH MACEDONIA,2018,10839,3035,13874,0.7812454951708231,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
183,OMAN,2017,34010,1322,35332,0.962583493716744,125.0,OMAN,Oman,Middle East / North Africa,82.0,8.0,62.1,60.8,52.3,47.6,98.5,20.5,36.3,68.4,70.3,80.6,85.2,65.0,60.0,2.4,0.0,12.0,2.6,59.7,Oman,4.2,$171.4 ,4.1,4.3,"$44,628",6.3,0.2,821.8,20.6,,,
184,OMAN,2018,36552,1912,38464,0.9502911813643927,125.0,OMAN,Oman,Middle East / North Africa,93.0,8.0,,59.5,57.4,51.5,98.5,25.0,17.7,76.3,55.2,79.2,86.2,65.0,60.0,1.9,0.0,12.0,8.5,50.0,Oman,4.0,$184.8 ,4.1,4.7,"$46,698.0",17.5,1.1,142.0,34.3,,,61.0
185,PAKISTAN,2017,51765,27941,79706,0.6494492259052016,126.0,PAKISTAN,Pakistan,Asia-Pacific,141.0,32.0,52.8,36.4,34.1,30.5,78.9,87.3,30.8,61.2,37.8,74.8,67.2,55.0,40.0,8.9,30.0,33.0,11.0,19.8,Pakistan,190.0,$931.0 ,4.2,3.9,"$5,000",5.4,4.5,864.7,64.4,,,
186,PAKISTAN,2018,56684,31085,87769,0.6458316717747724,126.0,PAKISTAN,Pakistan,Asia-Pacific,131.0,31.0,,36.0,34.0,27.3,78.5,88.2,54.0,55.3,40.6,77.7,65.9,55.0,40.0,9.5,30.0,33.0,12.6,19.8,Pakistan,193.6,$988.2 ,4.2,4.1,"$5,105.6",5.9,2.9,"2,006.0",66.9,,,54.4
187,PALESTINIAN AUTHORITY,2017,5516,534,6050,0.9117355371900826,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
188,PALESTINIAN AUTHORITY,2018,5459,775,6234,0.8756817452678858,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
189,PANAMA,2017,3313,1657,4970,0.6665995975855131,127.0,PANAMA,Panama,Americas,54.0,8.0,66.3,61.1,21.5,40.9,85.2,83.1,84.9,74.4,43.0,78.4,77.8,75.0,70.0,6.1,25.0,25.0,15.2,23.2,Panama,4.0,$87.2 ,5.8,7.9,"$21,765",5.2,0.1,"5,038.6",38.8,,,
190,PANAMA,2018,4904,1563,6467,0.7583114272460183,127.0,PANAMA,Panama,Americas,54.0,10.0,,60.9,29.4,38.8,85.0,84.1,86.1,74.4,43.5,79.5,77.8,75.0,70.0,6.1,25.0,25.0,15.8,23.1,Panama,4.0,$92.9 ,5.8,6.5,"$23,023.9",5.8,0.7,"5,209.3",39.2,,,67.0
191,PARAGUAY,2017,39,1,40,0.975,129.0,PARAGUAY,Paraguay,Americas,80.0,17.0,62.4,38.2,23.3,32.6,96.2,83.0,95.1,62.4,28.5,78.3,76.6,75.0,60.0,4.2,10.0,10.0,13.5,24.4,Paraguay,7.0,$61.0 ,3.0,5.0,"$8,708",4.9,2.9,282.7,23.8,,,
192,PARAGUAY,2018,42,6,48,0.875,129.0,PARAGUAY,Paraguay,Americas,82.0,17.0,,38.3,28.2,28.3,96.1,82.2,97.1,62.2,29.9,72.4,76.1,75.0,60.0,4.4,10.0,10.0,13.8,24.4,Paraguay,6.9,$64.4 ,3.0,4.9,"$9,396.0",5.4,4.1,273.6,24.7,,,62.1
193,PERU,2017,811,46,857,0.9463243873978997,130.0,PERU,Peru,Americas,43.0,7.0,68.9,58.3,28.2,38.8,80.3,85.1,98.4,69.4,62.8,83.3,87.1,75.0,60.0,1.4,30.0,28.0,16.8,22.6,Peru,31.9,$389.1 ,3.3,4.8,"$12,195",3.5,3.5,"6,861.2",23.1,,,
194,PERU,2018,743,42,785,0.9464968152866242,130.0,PERU,Peru,Americas,43.0,7.0,,56.9,33.5,36.6,80.6,85.6,94.7,69.2,62.4,83.1,87.1,75.0,60.0,1.4,30.0,28.0,15.9,21.9,Peru,31.5,$406.2 ,3.3,4.3,"$12,903.1",4.9,3.6,"6,862.9",24.8,,,68.7
195,PHILIPPINES,2017,157856,12017,169873,0.929258916955608,131.0,PHILIPPINES,Philippines,Asia-Pacific,58.0,14.0,65.6,49.2,37.1,38.7,78.9,89.4,97.2,62.6,57.2,80.6,76.4,60.0,60.0,4.3,32.0,30.0,13.6,19.4,Philippines,101.4,$741.0 ,5.8,5.9,"$7,254",6.7,1.4,"5,234.0",37.1,,,
196,PHILIPPINES,2018,159944,14442,174386,0.9171837188765153,131.0,PHILIPPINES,Philippines,Asia-Pacific,61.0,13.0,,45.0,38.2,34.4,78.9,89.3,97.7,62.6,57.6,76.3,80.7,60.0,60.0,2.2,32.0,30.0,13.7,18.9,Philippines,104.2,$805.2 ,5.8,6.5,"$7,728.1",5.9,1.8,"7,912.2",33.7,,,65.0
197,QATAR,2017,76492,7106,83598,0.9149979664585277,134.0,QATAR,Qatar,Middle East / North Africa,29.0,2.0,73.1,74.8,63.0,59.0,99.6,71.2,97.4,68.1,65.4,80.6,83.1,55.0,60.0,3.4,0.0,0.0,6.3,33.1,Qatar,2.4,$319.8 ,3.3,6.0,"$132,099",0.2,1.7,"1,070.9",35.8,,,
198,QATAR,2018,83088,7205,90293,0.9202042240262257,134.0,QATAR,Qatar,Middle East / North Africa,29.0,2.0,,70.3,59.8,71.6,99.6,60.2,95.4,71.3,65.4,75.0,83.3,60.0,60.0,3.4,0.0,0.0,6.4,36.4,Qatar,2.6,$329.2 ,3.3,3.9,"$127,659.6",0.2,2.7,773.9,47.6,,,72.6
199,ROMANIA,2017,4360,406,4766,0.9148132605958875,135.0,ROMANIA,Romania,Europe,39.0,20.0,69.7,63.9,58.5,45.9,87.4,65.3,90.9,65.9,62.5,83.6,87.0,75.0,50.0,1.5,16.0,16.0,27.4,34.3,Romania,19.8,$413.8 ,3.7,2.4,"$20,787",6.9,-0.6,"3,388.9",39.4,,,
200,ROMANIA,2018,4477,339,4816,0.929609634551495,135.0,ROMANIA,Romania,Europe,37.0,19.0,,61.0,59.7,40.0,87.3,66.9,91.1,65.2,66.8,82.8,86.9,75.0,50.0,1.6,16.0,16.0,27.5,33.2,Romania,19.8,$441.6 ,3.7,3.2,"$22,347.9",6.4,-1.6,"4,573.0",39.2,,,69.4
201,RUSSIAN FEDERATION,2017,3827218,52780,3879998,0.9863969002045877,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
202,RUSSIAN FEDERATION,2018,3632523,57432,3689955,0.9844355825477547,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
203,RWANDA,2017,5545,1522,7067,0.7846328003396066,137.0,RWANDA,Rwanda,Sub-Saharan Africa,51.0,3.0,67.6,64.4,68.8,45.9,79.8,77.3,83.3,59.0,81.8,80.0,70.3,60.0,40.0,7.4,30.0,30.0,14.9,27.2,Rwanda,11.4,$20.4 ,6.9,7.0,"$1,807",2.4,2.5,471.2,34.6,,,
204,RWANDA,2018,7281,1725,9006,0.8084610259826782,137.0,RWANDA,Rwanda,Sub-Saharan Africa,39.0,3.0,,69.8,79.6,61.2,75.8,77.7,82.3,55.0,81.2,76.5,70.7,60.0,40.0,7.2,30.0,30.0,25.0,27.2,Rwanda,11.5,$22.8 ,6.9,7.2,"$1,976.8",2.5,5.7,409.8,37.6,,,69.1
205,SAINT LUCIA,2017,436,20,456,0.956140350877193,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
206,SAINT LUCIA,2018,502,21,523,0.9598470363288719,138.0,SAINT LUCIA,SaintLucia,Americas,51.0,9.0,,67.9,69.2,50.9,75.5,72.4,67.7,76.6,69.5,81.7,74.3,65.0,40.0,7.8,30.0,30.0,25.5,30.3,Saint Lucia,0.2,$2.1 ,1.6,0.3,"$11,782.9",19.8,-1.7,94.6,82.9,,,67.6
