,Country_x,Year,Total_Issued,Total_Not_Issued,Total,Acceptance_Rate,CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,Score2017,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_pct_GDP,Gov_Expenditure_pct_of_GDP,Country_y,Population_MM,GDP_Billions_PPP,GDP_Growth_Rate_,Five_Year_GDP_Growth_Rate,GDP_per_Capita_PPP,Unemployment,Inflation,FDI_Inflow_MM,Public_Debt_pct_GDP,Unnamed_34,Unnamed_35,Score2018
207,SAN MARINO,2017,522,3,525,0.9942857142857143,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
208,SAN MARINO,2018,435,2,437,0.9954233409610984,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
209,SAO TOME AND PRINCIPE,2017,2960,766,3726,0.7944176060118089,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
210,SAO TOME AND PRINCIPE,2018,2950,554,3504,0.8418949771689498,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
211,SAUDI ARABIA,2017,311955,18200,330155,0.944874377186473,142.0,SAUDI ARABIA,SaudiArabia,Middle East / North Africa,64.0,7.0,64.4,62.0,65.0,45.9,99.7,54.5,65.7,73.8,68.5,70.1,78.2,40.0,50.0,3.4,2.5,2.5,4.6,40.9,Saudi Arabia,31.4,"$1,683.0 ",3.4,5.0,"$53,624",5.8,2.2,"8,141.0",5.8,,,
212,SAUDI ARABIA,2018,327626,27314,354940,0.9230461486448414,142.0,SAUDI ARABIA,SaudiArabia,Middle East / North Africa,98.0,9.0,,53.1,60.2,49.9,99.7,52.0,19.7,74.0,64.8,73.8,78.2,40.0,50.0,3.4,2.5,2.5,8.7,40.0,Saudi Arabia,31.7,"$1,750.9 ",3.4,3.5,"$55,158.2",5.5,3.5,"7,452.5",12.4,,,59.6
213,SENEGAL,2017,40928,26274,67202,0.6090294931698461,143.0,SENEGAL,Senegal,Sub-Saharan Africa,120.0,21.0,55.9,44.0,39.3,42.1,70.9,74.3,51.8,50.8,38.9,86.0,73.1,60.0,40.0,8.5,40.0,30.0,20.2,29.9,Senegal,15.0,$36.7 ,6.5,4.2,"$2,451",9.3,0.1,345.2,56.8,,,
214,SENEGAL,2018,42301,29710,72011,0.5874241435336268,143.0,SENEGAL,Senegal,Sub-Saharan Africa,126.0,21.0,,41.3,40.4,42.6,68.5,72.7,58.4,51.5,41.4,84.7,66.7,60.0,40.0,11.6,40.0,30.0,25.5,30.2,Senegal,15.4,$39.7 ,6.5,5.1,"$2,576.6",9.5,0.9,392.8,57.4,,,55.7
215,SERBIA,2017,6665,199,6864,0.9710081585081585,144.0,SERBIA,Serbia,Europe,99.0,39.0,58.9,50.3,40.2,38.2,83.3,40.3,46.9,62.9,65.9,80.8,77.8,70.0,50.0,6.1,15.0,15.0,35.0,44.7,Serbia,7.2,$97.5 ,0.7,0.4,"$13,671",19.0,1.4,"2,346.6",77.4,,,
216,SERBIA,2018,8057,233,8290,0.9718938480096502,144.0,SERBIA,Serbia,Europe,80.0,37.0,,46.2,48.2,36.5,83.5,40.6,67.0,68.3,69.2,82.9,87.4,70.0,50.0,1.3,15.0,15.0,34.6,44.5,Serbia,7.0,$101.8 ,0.7,0.7,"$14,493.1",16.5,1.1,"2,298.8",74.1,,,62.5
217,SEYCHELLES,2017,217,7,224,0.96875,145.0,SEYCHELLES,Seychelles,Sub-Saharan Africa,85.0,7.0,61.8,55.2,42.6,44.3,78.8,63.9,90.7,63.4,55.9,78.3,83.4,55.0,30.0,3.3,15.0,33.0,28.4,32.3,Seychelles,0.1,$2.4 ,4.4,4.9,"$26,277",nan,4.0,194.5,68.1,,,
218,SINGAPORE,2017,30007,400,30407,0.9868451343440655,147.0,SINGAPORE,Singapore,Asia-Pacific,2.0,2.0,88.6,97.1,91.5,87.9,90.5,90.1,80.7,95.1,90.8,84.3,90.0,85.0,80.0,0.0,22.0,17.0,13.4,20.3,Singapore,5.5,$471.9 ,2.0,4.0,"$85,253",3.3,-0.5,"65,262.4",98.2,,,
219,SINGAPORE,2018,32374,533,32907,0.9838028383018811,147.0,SINGAPORE,Singapore,Asia-Pacific,2.0,2.0,,98.4,90.9,91.2,90.4,90.6,80.0,90.9,92.6,85.2,90.0,85.0,80.0,0.0,22.0,17.0,13.6,17.7,Singapore,5.6,$492.6 ,2.0,3.3,"$87,855.4",1.8,-0.5,"61,596.7",112.0,,,88.8
220,SLOVAKIA,2017,63,1,64,0.984375,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
221,SLOVAKIA,2018,32,1,33,0.9696969696969697,148.0,SLOVAKIA,Slovakia,Europe,59.0,29.0,,68.2,38.8,38.2,78.9,44.3,84.9,63.9,54.0,81.0,86.9,75.0,70.0,1.6,25.0,21.0,32.3,43.1,Slovak Republic,5.4,$170.1 ,3.6,2.6,"$31,338.8",10.0,-0.5,-295.4,52.3,,,65.3
222,SOUTH AFRICA,2017,201554,4273,205827,0.9792398470560227,151.0,SOUTH AFRICA,SouthAfrica,Sub-Saharan Africa,81.0,6.0,62.3,67.6,59.7,47.6,70.2,68.4,70.0,62.0,58.9,75.8,77.3,40.0,50.0,3.9,41.0,28.0,22.6,33.7,South Africa,54.9,$723.5 ,1.3,2.1,"$13,165",25.1,4.6,"1,772.4",50.1,,,
223,SOUTH AFRICA,2018,215321,5403,220724,0.975521465721897,151.0,SOUTH AFRICA,SouthAfrica,Sub-Saharan Africa,77.0,4.0,,67.7,65.9,45.4,62.5,68.1,74.6,65.1,60.1,74.6,71.6,50.0,50.0,4.2,45.0,28.0,30.6,32.6,South Africa,55.9,$739.4 ,1.3,1.6,"$13,225.4",25.9,6.3,"2,270.4",50.5,,,63.0
224,SOUTH KOREA,2017,2990,275,3265,0.9157733537519143,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
225,SOUTH KOREA,2018,3726,295,4021,0.9266351653817458,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
226,SOUTH SUDAN,2017,10,2,12,0.8333333333333334,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
227,SRI LANKA,2017,31147,6607,37754,0.8249986756370186,153.0,SRI LANKA,SriLanka,Asia-Pacific,112.0,25.0,57.4,48.0,48.3,30.0,85.3,90.2,31.2,72.8,57.5,76.0,74.5,35.0,40.0,5.3,24.0,28.0,10.7,18.3,Sri Lanka,21.1,$223.0 ,5.2,6.1,"$10,566",4.7,0.9,681.2,74.4,,,
228,SRI LANKA,2018,29014,7304,36318,0.7988876039429484,153.0,SRI LANKA,SriLanka,Asia-Pacific,111.0,25.0,,46.5,52.0,30.7,84.9,89.3,24.9,76.2,60.1,74.0,74.5,40.0,40.0,5.3,24.0,28.0,12.1,18.9,Sri Lanka,21.3,$260.6 ,5.2,5.3,"$12,262.3",5.0,3.7,898.1,77.3,,,57.8
229,SUDAN,2017,7959,2487,10446,0.7619184376794945,154.0,SUDAN,Sudan,Sub-Saharan Africa,164.0,40.0,48.8,31.1,19.8,18.9,86.5,95.1,85.5,53.9,49.7,59.3,50.5,15.0,20.0,14.7,10.0,35.0,5.2,12.5,Sudan,38.4,$167.0 ,3.5,1.2,"$4,344",13.6,16.9,"1,736.8",68.9,,,
230,SUDAN,2018,8165,2717,10882,0.7503216320529315,154.0,SUDAN,Sudan,Sub-Saharan Africa,161.0,37.0,,27.8,21.4,21.2,85.9,95.3,87.2,52.3,58.8,62.2,56.1,5.0,20.0,12.0,10.0,35.0,9.0,12.5,Sudan,39.6,$176.1 ,3.5,2.3,"$4,446.8",13.3,17.8,"1,063.8",64.2,,,49.4
231,SURINAME,2017,17239,1630,18869,0.9136149239493349,155.0,SURINAME,Suriname,Americas,167.0,29.0,48.0,45.1,15.4,31.7,70.1,69.6,16.2,48.6,76.1,75.1,68.4,30.0,30.0,10.8,38.0,36.0,15.7,29.7,Suriname,0.6,$9.1 ,0.1,2.6,"$16,292",7.8,6.9,276.4,43.3,,,
232,SURINAME,2018,18029,1643,19672,0.9164802765351769,155.0,SURINAME,Suriname,Americas,166.0,29.0,,39.7,21.4,39.9,71.4,76.4,11.7,48.3,73.5,50.5,74.8,40.0,30.0,7.6,38.0,36.0,11.1,28.1,Suriname,0.6,$7.9 ,0.1,-1.4,"$13,988.2",10.0,55.5,221.8,64.6,,,48.1
233,SYRIA,2017,237,138,375,0.632,159.0,SYRIA,Syria,Middle East / North Africa,,,,37.3,22.6,30.0,,,0.0,66.4,55.7,,56.6,,,14.2,22.0,28.0,,,Syria,16.8,$68.00 ,-4.8,,nan,nan,29.6,nan,,,,
234,SYRIA,2018,255,154,409,0.6234718826405868,159.0,SYRIA,Syria,Middle East / North Africa,,,,36.7,22.1,23.1,,,13.8,61.8,59.2,44.2,56.6,0.0,,14.2,22.0,28.0,,,Syria,18.4,$21.0 (nominal),-4.8,,nan,14.3,44.5,nan,55.5,,,
235,TAIWAN,2017,794,46,840,0.9452380952380952,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
236,TAIWAN,2018,1205,43,1248,0.9655448717948718,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
237,TAJIKISTAN,2017,3428,431,3859,0.8883130344648873,161.0,TAJIKISTAN,Tajikistan,Asia-Pacific,109.0,23.0,58.2,45.5,45.6,32.7,90.9,74.1,95.8,65.6,49.2,69.8,73.9,25.0,30.0,5.6,13.0,15.0,22.8,32.0,Tajikistan,8.5,$23.3 ,3.0,6.4,"$2,749",10.9,5.8,226.8,35.9,,,
238,TAJIKISTAN,2018,3761,901,4662,0.8067353067353067,161.0,TAJIKISTAN,Tajikistan,Asia-Pacific,106.0,23.0,,46.8,50.3,38.2,91.8,71.4,90.4,63.4,52.2,69.6,70.6,25.0,30.0,7.2,13.0,15.0,20.6,30.9,Tajikistan,8.7,$26.0 ,3.0,6.9,"$3,007.6",10.8,5.9,434.2,35.3,,,58.3
239,TANZANIA,2017,9753,1290,11043,0.8831839174137462,162.0,TANZANIA,Tanzania,Sub-Saharan Africa,105.0,14.0,58.6,33.8,28.8,29.2,80.3,89.5,76.6,50.1,64.3,69.6,76.0,55.0,50.0,7.0,30.0,30.0,13.2,18.8,Tanzania,49.1,$138.5 ,7.0,6.8,"$2,904",3.2,5.6,"1,531.5",40.5,,,
240,TANZANIA,2018,10158,1614,11772,0.8628950050968399,162.0,TANZANIA,Tanzania,Sub-Saharan Africa,97.0,10.0,,38.0,34.7,31.8,79.8,89.8,79.0,50.0,63.9,70.3,76.9,55.0,50.0,6.5,30.0,30.0,15.0,18.5,Tanzania,48.6,$149.8 ,7.0,6.6,"$3,080.3",2.6,5.2,"1,365.4",39.0,,,59.9
241,THAILAND,2017,293527,9500,303027,0.9686496582812752,163.0,THAILAND,Thailand,Asia-Pacific,55.0,13.0,66.2,51.3,41.7,40.7,81.0,85.3,96.3,69.9,62.8,72.9,82.8,50.0,60.0,3.6,35.0,20.0,16.5,22.3,Thailand,68.8,"$1,108.1 ",2.8,2.9,"$16,097",1.1,-0.9,"10,844.6",43.1,,,
242,THAILAND,2018,319735,11102,330837,0.966442689300169,163.0,THAILAND,Thailand,Asia-Pacific,53.0,12.0,,48.6,45.3,34.7,81.3,85.5,96.4,77.2,62.6,75.5,83.1,55.0,60.0,3.5,35.0,20.0,15.7,22.0,Thailand,69.0,"$1,164.9 ",2.8,3.4,"$16,887.6",0.6,0.2,"1,554.2",42.2,,,67.1
243,TIMOR-LESTE,2017,71,3,74,0.9594594594594594,164.0,TIMOR-LESTE,TimorLeste,Asia-Pacific,173.0,42.0,46.3,6.8,10.3,29.2,64.7,65.6,20.0,72.2,63.9,77.5,80.0,45.0,20.0,2.5,10.0,10.0,61.5,51.2,Timor-Leste,1.3,$6.6 ,4.3,5.7,"$5,629",nan,0.6,43.0,0.0,,,
244,TIMOR-LESTE,2018,51,3,54,0.9444444444444444,164.0,TIMOR-LESTE,TimorLeste,Asia-Pacific,167.0,41.0,,29.9,13.8,32.0,97.4,30.9,20.0,66.9,62.7,78.4,80.0,45.0,20.0,2.5,10.0,10.0,8.0,48.0,Timor-Leste,1.2,$5.0 ,4.3,4.8,"$4,186.6",4.0,-1.3,5.5,0.0,,,48.1
245,TOGO,2017,6630,1846,8476,0.7822085889570553,165.0,TOGO,Togo,Sub-Saharan Africa,138.0,29.0,53.2,33.8,39.9,36.8,68.2,79.8,45.1,50.3,46.2,77.5,71.3,60.0,30.0,9.4,45.0,27.0,20.7,27.4,Togo,7.2,$10.8 ,5.3,5.4,"$1,483",7.7,1.8,52.7,61.9,,,
246,TOGO,2018,6613,2011,8624,0.7668135435992579,165.0,TOGO,Togo,Sub-Saharan Africa,168.0,41.0,,32.7,28.2,31.4,64.3,73.3,7.5,49.7,45.2,78.5,67.2,65.0,30.0,11.4,45.0,27.0,28.5,29.8,Togo,7.5,$11.6 ,5.3,5.5,"$1,550.3",6.8,0.9,254.9,79.1,,,47.8
247,TRINIDAD AND TOBAGO,2017,438,17,455,0.9626373626373627,167.0,TRINIDAD AND TOBAGO,TrinidadTobago,Americas,87.0,18.0,61.2,54.7,48.7,36.8,81.4,57.7,51.8,67.7,71.4,75.9,78.6,60.0,50.0,5.7,25.0,25.0,24.7,39.8,Trinidad and Tobago,1.4,$44.3 ,-1.8,0.1,"$32,636",3.8,4.7,"1,618.6",51.1,,,
248,TRINIDAD AND TOBAGO,2018,373,21,394,0.9467005076142132,167.0,TRINIDAD AND TOBAGO,TrinidadTobago,Americas,112.0,22.0,,54.9,49.8,33.1,83.5,54.4,12.6,68.3,74.5,77.4,73.5,60.0,50.0,8.3,25.0,25.0,20.0,39.0,Trinidad and Tobago,1.4,$43.6 ,-1.8,-0.5,"$31,870.3",3.9,3.4,-60.4,61.0,,,57.7
249,TUNISIA,2017,171693,34621,206314,0.8321926771813837,168.0,TUNISIA,Tunisia,Middle East / North Africa,123.0,10.0,55.7,49.6,39.9,37.3,73.7,73.4,53.4,80.6,56.1,75.9,63.8,35.0,30.0,13.1,35.0,30.0,22.5,27.7,Tunisia,11.1,$127.0 ,0.8,1.5,"$11,428",14.8,4.9,"1,001.7",54.5,,,
250,TUNISIA,2018,186569,42645,229214,0.8139511548160234,168.0,TUNISIA,Tunisia,Middle East / North Africa,99.0,10.0,,49.4,41.7,36.8,73.0,75.5,61.6,81.4,52.9,77.2,82.1,45.0,30.0,3.9,35.0,30.0,24.0,28.6,Tunisia,11.2,$130.6 ,0.8,2.1,"$11,634.1",14.8,3.7,957.6,60.6,,,58.9
251,TURKEY,2017,905141,63185,968326,0.9347482149606641,169.0,TURKEY,Turkey,Europe,60.0,29.0,65.2,61.3,52.5,40.7,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75.0,60.0,2.8,35.0,20.0,28.7,37.0,Turkey,77.7,"$1,588.8 ",3.8,4.4,"$20,438",10.3,7.7,"16,508.0",32.6,,,
252,TURKEY,2018,800828,74366,875194,0.9150291249711493,169.0,TURKEY,Turkey,Europe,58.0,28.0,,54.7,54.5,42.0,74.7,68.1,93.6,63.3,47.6,72.3,78.6,75.0,60.0,3.2,35.0,20.0,30.0,32.6,Turkey,79.8,"$1,988.3 ",3.8,5.5,"$24,911.8",10.3,7.8,"11,987.0",29.1,,,65.4
253,TURKMENISTAN,2017,5122,105,5227,0.9799119954084561,170.0,TURKMENISTAN,Turkmenistan,Asia-Pacific,170.0,41.0,47.4,32.4,5.0,29.6,95.3,92.3,98.9,30.0,20.0,74.8,80.0,0.0,10.0,0.0,10.0,8.0,17.4,16.2,Turkmenistan,5.9,$88.6 ,6.5,10.6,"$16,445",10.0,5.5,"4,258.8",23.3,,,
254,TURKMENISTAN,2018,5318,133,5451,0.975600807191341,170.0,TURKMENISTAN,Turkmenistan,Asia-Pacific,169.0,42.0,,29.8,5.0,27.3,95.9,92.2,98.6,30.0,20.0,76.3,80.0,0.0,10.0,0.0,10.0,8.0,15.6,16.1,Turkmenistan,5.5,$95.5 ,6.5,8.8,"$17,485.2",8.6,3.5,"4,522.5",23.9,,,47.1
255,UGANDA,2017,10933,2306,13239,0.8258176599441045,171.0,UGANDA,Uganda,Sub-Saharan Africa,91.0,9.0,60.9,39.3,34.6,28.7,73.7,91.0,78.1,42.4,84.6,80.3,78.3,60.0,40.0,5.9,40.0,30.0,11.4,18.0,Uganda,39.2,$79.9 ,5.0,4.7,"$2,003",3.6,5.8,"1,057.3",35.4,,,
256,UGANDA,2018,10566,2500,13066,0.8086637073320068,171.0,UGANDA,Uganda,Sub-Saharan Africa,83.0,5.0,,43.5,40.3,28.3,73.0,90.9,80.7,45.4,83.9,80.5,78.1,60.0,40.0,5.9,40.0,30.0,14.3,17.4,Uganda,41.1,$85.0 ,5.0,4.3,"$2,068.2",2.3,5.5,541.2,36.9,,,62.0
257,UKRAINE,2017,694727,26932,721659,0.962680434942265,172.0,UKRAINE,Ukraine,Europe,166.0,44.0,48.1,41.4,22.6,29.2,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25.0,30.0,2.1,20.0,18.0,37.6,43.2,Ukraine,42.7,$339.5 ,-9.9,-2.1,"$7,971",9.9,48.7,"2,961.0",80.2,,,
258,UKRAINE,2018,182540,8947,191487,0.9532762015175965,172.0,UKRAINE,Ukraine,Europe,150.0,44.0,,41.0,29.5,29.0,80.2,45.0,75.9,62.7,52.8,60.1,81.1,35.0,30.0,1.9,20.0,18.0,35.5,42.8,Ukraine,42.5,$353.0 ,-9.9,-2.8,"$8,305.1",8.9,13.9,"3,336.0",81.2,,,51.9
259,UNITED ARAB EMIRATES,2017,169715,34121,203836,0.8326056241292019,173.0,UNITED ARAB EMIRATES,UnitedArabEmirates,Middle East / North Africa,8.0,1.0,76.9,76.7,85.0,74.2,96.4,67.4,99.2,81.1,80.9,78.4,83.5,40.0,60.0,3.2,0.0,0.0,19.0,35.9,United Arab Emirates,9.6,$647.8 ,3.9,5.0,"$67,617",3.7,4.1,"10,975.8",19.4,,,
260,UNITED ARAB EMIRATES,2018,176439,38931,215370,0.8192366624878117,173.0,UNITED ARAB EMIRATES,UnitedArabEmirates,Middle East / North Africa,10.0,1.0,,76.3,83.4,77.3,98.4,70.9,99.0,79.9,81.1,80.2,84.3,40.0,60.0,2.8,0.0,0.0,12.8,31.2,United Arab Emirates,9.9,$668.9 ,3.9,4.3,"$67,870.8",3.7,1.8,"8,985.7",19.3,,,77.6
261,UNITED KINGDOM,2017,259242,3647,262889,0.986127224798299,174.0,UNITED KINGDOM,UnitedKingdom,Europe,12.0,4.0,76.4,93.8,93.0,78.3,65.1,41.9,40.4,89.9,72.8,85.0,87.0,90.0,80.0,1.5,45.0,20.0,32.6,43.2,United Kingdom,64.9,"$2,679.3 ",2.2,2.1,"$41,159",5.5,0.1,"39,532.8",89.3,,,
262,UNITED KINGDOM,2018,266158,4214,270372,0.9844140665453524,174.0,UNITED KINGDOM,UnitedKingdom,Europe,8.0,4.0,,92.2,93.8,79.0,65.2,44.4,53.5,91.1,74.4,85.2,86.9,90.0,80.0,1.6,45.0,20.0,32.5,43.0,United Kingdom,65.6,"$2,785.6 ",2.2,2.1,"$42,480.7",4.8,0.6,"253,825.8",89.2,,,78.0
263,URUGUAY,2017,22,2,24,0.9166666666666666,176.0,URUGUAY,Uruguay,Americas,38.0,5.0,69.7,70.2,66.8,70.3,77.5,69.4,77.2,74.8,62.9,71.3,80.6,85.0,30.0,4.7,30.0,25.0,26.9,31.8,Uruguay,3.4,$73.5 ,1.5,3.7,"$21,507",7.3,8.7,"1,647.2",61.8,,,
264,URUGUAY,2018,10,2,12,0.8333333333333334,176.0,URUGUAY,Uruguay,Americas,38.0,4.0,,69.3,67.0,71.6,78.0,68.6,71.1,74.4,64.4,70.7,80.4,85.0,30.0,4.8,30.0,25.0,26.0,32.4,Uruguay,3.5,$74.9 ,1.5,2.8,"$21,527.3",8.2,9.6,953.1,60.9,,,69.2
265,USA,2017,126894,1498,128392,0.9883326063929216,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
266,USA,2018,141843,3188,145031,0.9780184925981342,,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,,nan,nan,,nan,,,,
267,UZBEKISTAN,2017,25406,2596,28002,0.9072923362616956,177.0,UZBEKISTAN,Uzbekistan,Asia-Pacific,148.0,36.0,52.3,48.0,41.9,27.5,90.7,66.2,99.8,64.8,50.4,61.1,66.8,0.0,10.0,6.6,22.0,7.5,19.7,34.4,Uzbekistan,31.0,$187.9 ,8.0,8.1,"$6,068",10.1,8.5,"1,068.4",10.7,,,
268,UZBEKISTAN,2018,26537,4067,30604,0.8671088746569076,177.0,UZBEKISTAN,Uzbekistan,Asia-Pacific,152.0,37.0,,48.7,35.3,24.2,91.0,65.5,99.7,66.9,52.0,61.9,62.5,0.0,10.0,8.7,22.0,7.5,18.9,33.9,Uzbekistan,31.3,$205.7 ,8.0,8.0,"$6,562.6",8.9,8.0,66.5,11.6,,,51.5
269,VANUATU,2017,105,2,107,0.9813084112149533,178.0,VANUATU,Vanuatu,Asia-Pacific,52.0,12.0,67.4,65.5,33.0,70.5,97.0,80.4,99.1,51.4,58.1,74.8,73.9,65.0,40.0,5.5,0.0,0.0,17.2,32.9,Vanuatu,0.3,$0.7 ,-0.8,1.3,"$2,550",4.3,3.3,29.1,20.5,,,
270,VENEZUELA,2017,355,175,530,0.6698113207547169,179.0,VENEZUELA,Venezuela,Americas,179.0,32.0,27.0,6.8,10.3,11.6,72.5,51.5,15.2,39.7,28.5,16.8,60.7,0.0,10.0,9.7,34.0,34.0,20.9,41.0,Venezuela,30.9,$515.7 ,-5.7,0.3,"$16,673",8.0,121.7,"1,591.0",48.8,,,
271,VENEZUELA,2018,350,96,446,0.7847533632286996,179.0,VENEZUELA,Venezuela,Americas,179.0,32.0,,5.2,13.8,7.5,72.5,57.3,18.4,35.4,24.2,0.0,58.7,0.0,10.0,10.7,34.0,34.0,20.9,37.7,Venezuela,31.0,$427.0 ,-5.7,-4.2,"$13,760.6",6.9,254.9,"1,772.0",28.2,,,25.2
272,VIETNAM,2017,93876,10936,104812,0.8956608021982215,180.0,VIETNAM,Vietnam,Asia-Pacific,147.0,35.0,52.4,49.7,32.0,24.6,79.6,74.6,21.1,61.2,62.2,76.0,83.1,25.0,40.0,3.4,35.0,22.0,18.2,28.7,Vietnam,91.6,$552.3 ,6.7,5.9,"$6,024",2.1,0.6,"11,800.0",59.3,,,
273,VIETNAM,2018,113174,12030,125204,0.9039168077697198,180.0,VIETNAM,Vietnam,Asia-Pacific,141.0,35.0,,46.4,36.3,30.4,79.7,74.0,27.3,63.2,60.4,75.4,78.7,25.0,40.0,3.1,35.0,22.0,17.9,29.4,Vietnam,92.6,$595.5 ,6.7,5.9,"$6,428.6",2.2,2.7,"12,600.0",62.4,,,53.1
274,ZAMBIA,2017,5212,205,5417,0.9621561750046151,182.0,ZAMBIA,Zambia,Sub-Saharan Africa,122.0,23.0,55.8,49.6,39.8,35.0,73.1,81.6,21.6,66.6,48.2,70.7,78.3,55.0,50.0,3.4,35.0,35.0,15.5,25.6,Zambia,15.5,$62.7 ,3.6,5.4,"$3,868",10.7,10.1,"1,653.0",52.9,,,
275,ZAMBIA,2018,5510,287,5797,0.950491633603588,182.0,ZAMBIA,Zambia,Sub-Saharan Africa,132.0,23.0,,46.0,40.6,36.3,72.1,80.2,14.4,69.8,43.5,65.4,78.3,55.0,50.0,3.4,35.0,35.0,18.4,25.7,Zambia,16.7,$64.9 ,3.6,4.6,"$3,880.3",7.5,17.9,468.5,53.1,,,54.3
276,ZIMBABWE,2017,6207,751,6958,0.8920666858292613,183.0,ZIMBABWE,Zimbabwe,Sub-Saharan Africa,175.0,45.0,44.0,27.3,26.1,14.7,61.1,75.2,90.6,36.2,33.1,76.5,52.8,25.0,10.0,13.6,51.5,25.0,24.8,28.5,Zimbabwe,13.4,$28.1 ,1.5,6.5,"$2,096",9.3,-2.4,421.0,53.0,,,
277,ZIMBABWE,2018,6997,452,7449,0.9393207141898241,183.0,ZIMBABWE,Zimbabwe,Sub-Saharan Africa,174.0,44.0,,27.6,33.0,18.9,61.1,72.0,59.1,37.1,38.8,76.9,69.1,25.0,10.0,5.4,51.5,25.0,24.8,30.6,Zimbabwe,14.5,$28.6 ,1.5,4.1,"$1,970.3",5.1,-1.6,319.4,75.3,,,44.0
